user_id,n_candidates,n_prior_orders,ndcg10_model,recall10_model,ndcg10_baseline_freq,recall10_baseline_freq,ndcg10_baseline_freq_recency,recall10_baseline_freq_recency
158375,25,10,0.19342640361727081,0.5,0.19342640361727081,0.5,0.3706656904013186,1.0
144857,44,7,0.20210734650054757,0.3333333333333333,0.36926780146674987,0.6666666666666666,0.36926780146674987,0.6666666666666666
105537,19,19,1.0,1.0,1.0,1.0,1.0,1.0
15684,9,7,0.9896062251871525,1.0,0.9896062251871525,1.0,0.9896062251871525,1.0
136310,61,10,0.7526136409516659,0.6666666666666666,0.601312434202259,0.5,0.7113187596895268,0.6666666666666666
184229,111,12,0.6421086949229347,0.75,0.297439784462899,0.375,0.45016920132705884,0.5
45701,34,4,0.6836127878533236,1.0,0.6096199500078984,0.75,0.44149241373678083,0.5
83296,62,10,0.0,0.0,0.0,0.0,0.0,0.0
106444,14,14,0.9060254355346823,1.0,0.7328286204777911,1.0,0.7328286204777911,1.0
179855,65,15,0.2816249726597774,0.3333333333333333,0.33485807314974236,0.5,0.3428467921378015,0.5
141192,31,8,0.0,0.0,0.0,0.0,0.0,0.0
48111,150,34,0.18546617562553347,0.2222222222222222,0.1175227747072427,0.1111111111111111,0.1175227747072427,0.1111111111111111
67758,34,7,0.6370339733570289,0.5714285714285714,0.653400611352013,0.5714285714285714,0.653400611352013,0.5714285714285714
87794,83,10,0.4606700933772881,0.42857142857142855,0.40877874879535264,0.42857142857142855,0.40877874879535264,0.42857142857142855
174094,38,6,0.6969904532005494,0.7142857142857143,0.7080672971095344,0.7142857142857143,0.688111030201106,0.7142857142857143
169701,48,4,0.510383374527714,0.375,0.5538282970597391,0.5,0.4695140628038534,0.375
191108,21,9,0.4340013854116349,0.8,0.23330247263525344,0.4,0.2442584792702138,0.4
2987,57,5,0.358054410832327,0.42857142857142855,0.28784264275480265,0.42857142857142855,0.3416877728373431,0.42857142857142855
125927,70,6,0.37576775259321094,0.26666666666666666,0.6399441431116328,0.4,0.6242322474067891,0.4
83481,43,8,0.6505998846696008,1.0,0.4381618496756866,0.75,0.4428328130831785,0.75
46453,45,8,0.37590633587120725,0.6666666666666666,0.23463936301137822,0.3333333333333333,0.23463936301137822,0.3333333333333333
24589,110,15,0.46900009332067494,0.3,0.45374257454118555,0.3,0.46900009332067494,0.3
73359,54,17,0.6371130896657825,0.5384615384615384,0.6311443278613472,0.5384615384615384,0.6311443278613472,0.5384615384615384
193418,71,8,0.7903864795495061,1.0,0.8065735963827293,1.0,0.8175295903539445,1.0
116432,19,3,0.21109268758922906,0.4,0.3806727902260371,0.6,0.22924436334369883,0.4
18867,89,22,0.08671382849411972,0.14285714285714285,0.18462675384408753,0.2857142857142857,0.17437146561008365,0.2857142857142857
92479,125,12,0.48854680201562284,0.21052631578947367,0.5669450709942983,0.2631578947368421,0.5033242827953465,0.21052631578947367
94327,90,13,0.4857157485697725,0.29411764705882354,0.45953262310069537,0.23529411764705882,0.4448530294934503,0.23529411764705882
180670,52,16,0.7883471957403595,0.7777777777777778,0.5754994188159136,0.4444444444444444,0.6434428197342043,0.5555555555555556
82382,80,9,0.08274602130532002,0.14285714285714285,0.11838279295536291,0.14285714285714285,0.10633668103022985,0.14285714285714285
60320,21,12,0.8048099750039491,0.75,0.6886342695939197,0.75,0.6886342695939197,0.75
152576,74,4,0.0,0.0,0.0,0.0,0.0,0.0
113400,46,4,0.6306637463657284,0.6,0.41628452663299526,0.5,0.41628452663299526,0.5
103970,33,6,0.72878684203556,0.8,0.591176585485452,0.6,0.6892158713168092,0.8
167359,35,9,1.0,1.0,1.0,1.0,1.0,1.0
177465,162,11,0.7967610662472993,0.7,0.718362797268624,0.6,0.7222954974312067,0.6
30082,31,6,0.6661998717660157,0.6,0.5531464700081437,0.4,0.6601396023754075,0.6
139612,29,4,1.0,1.0,0.9197207891481876,1.0,0.9197207891481876,1.0
20782,29,5,0.3065735963827292,0.5,0.5714285040141098,1.0,0.2640681225725909,0.5
65601,14,9,0.8065735963827293,1.0,0.7977228895450266,1.0,0.7977228895450266,1.0
204785,56,7,0.5360735436824438,0.38461538461538464,0.3494867399516553,0.3076923076923077,0.34445239307234,0.3076923076923077
94233,71,20,0.0,0.0,0.0,0.0,0.0,0.0
138190,28,9,0.4364799060677962,0.5714285714285714,0.2957527977380981,0.42857142857142855,0.3074654952909128,0.42857142857142855
4095,32,9,0.43734888382569426,0.6666666666666666,0.37590633587120725,0.6666666666666666,0.39106560501896365,0.6666666666666666
198508,11,4,0.43067655807339306,1.0,0.3010299956639812,1.0,0.31546487678572877,1.0
62107,32,10,0.6131471927654584,0.5,0.3065735963827292,0.5,0.3065735963827292,0.5
200120,75,11,0.07075576072108063,0.1111111111111111,0.1175227747072427,0.1111111111111111,0.1012286082123002,0.1111111111111111
61645,12,4,0.6240505200038379,1.0,0.38685280723454163,0.5,0.5714285040141098,1.0
177463,15,7,0.5437713091520254,1.0,0.6509209298071326,1.0,0.6934264036172708,1.0
46526,24,4,0.4367467095119258,0.6666666666666666,0.13565197343244778,0.3333333333333333,0.3235866969737877,0.6666666666666666
96293,56,10,0.0,0.0,0.13565197343244778,0.3333333333333333,0.0,0.0
88966,9,5,0.6309297535714575,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0
172115,22,5,1.0,1.0,1.0,1.0,1.0,1.0
112258,48,5,0.20438239758848611,0.5,0.0,0.0,0.0,0.0
13119,75,17,0.6407412126725263,0.7777777777777778,0.615870362804717,0.5555555555555556,0.5291220439603807,0.5555555555555556
13487,51,8,0.5954536088025923,0.625,0.20626588994627676,0.25,0.297439784462899,0.375
83686,21,4,0.6718536598421433,1.0,0.8048099750039491,0.75,0.8048099750039491,0.75
80310,15,4,0.9221235176732561,1.0,0.9669850519151656,1.0,0.9325172924861036,1.0
152586,24,4,0.0,0.0,0.0,0.0,0.0,0.0
132584,33,15,0.9404511968899847,1.0,0.9999999999999999,1.0,0.99307831664176,1.0
66703,37,5,0.6207622843987103,0.5,0.6172839611614819,0.5,0.6172839611614819,0.5
